Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
ICICIBANK.NS,1.3,0.79,95.92,SMA,50/200,0.0,0.0,-0.52,-6.12,0
ITC.NS,2.31,20.13,23.21,EMA,12/26,0.0,0.0,-3.9,-22.97,0
MARUTI.NS,1.22,5.59,71.34,EMA,50/100,3.29,100.0,-0.95,-8.8,1
TATASTEEL.NS,1.6,8.43,65.99,EMA,10/20,5.54,100.0,1.23,-13.24,1
3MINDIA.NS,1.79,2.94,89.46,SMA,10/20,0.0,0.0,1.49,-8.27,0
ABB.NS,1.6,9.73,54.41,EMA,50/200,0.0,0.0,-1.82,-11.46,0
ACC.NS,1.03,1.31,91.51,SMA,12/26,0.0,0.0,-1.63,-11.33,0
ACMESOLAR.NS,1.42,13.87,45.39,EMA,10/20,1.68,100.0,-5.61,-30.6,1
AIAENG.NS,1.67,4.6,83.24,SMA,20/50,0.0,0.0,1.44,-9.01,0
APLAPOLLO.NS,1.32,1.08,94.79,SMA,12/26,3.13,100.0,1.26,-5.9,1
AUBANK.NS,1.64,2.14,89.83,SMA,10/20,0.0,0.0,2.77,-4.24,0
AWL.NS,0.9,11.83,33.74,EMA,10/20,1.7,100.0,-4.79,-24.74,1
AADHARHFC.NS,1.37,3.31,83.63,SMA,20/50,0.0,0.0,-1.86,-10.06,0
AARTIIND.NS,1.19,10.46,48.5,EMA,20/50,0.0,0.0,-1.58,-14.38,0
AAVAS.NS,0.83,8.18,37.33,EMA,20/50,0.0,0.0,-2.06,-20.25,0
ABBOTINDIA.NS,1.02,3.3,79.95,SMA,10/20,0.12,50.0,-1.84,-8.98,2
ACE.NS,1.68,17.34,43.58,EMA,10/20,0.0,0.0,-4.38,-28.9,0
ADANIENSOL.NS,1.75,9.58,67.89,EMA,12/26,0.0,0.0,-0.48,-16.3,0
ADANIENT.NS,1.33,8.57,56.37,EMA,10/20,0.0,0.0,-3.35,-20.3,0
ADANIGREEN.NS,1.47,13.43,39.07,EMA,10/20,-2.59,0.0,-2.22,-22.93,1
ADANIPORTS.NS,1.02,7.74,51.79,EMA,50/100,2.94,100.0,-1.64,-10.64,1
ADANIPOWER.NS,1.55,3.86,82.63,SMA,10/20,1.88,100.0,-4.43,-22.62,1
ATGL.NS,1.45,6.56,66.32,EMA,10/20,-1.21,0.0,-3.67,-17.3,1
ABCAPITAL.NS,1.21,0.33,98.14,SMA,20/50,0.0,0.0,2.14,-5.44,0
ABFRL.NS,1.88,16.94,41.15,EMA,50/200,0.0,0.0,-2.91,-24.2,0
ABLBL.NS,1.52,5.45,77.17,SMA,10/20,0.0,0.0,-2.75,-19.18,0
ABREL.NS,2.07,20.66,37.18,EMA,12/26,0.0,0.0,-1.96,-28.75,0
ABSLAMC.NS,2.54,1.07,97.25,SMA,10/20,4.86,100.0,-1.67,-17.6,1
AEGISLOG.NS,1.4,10.25,58.56,EMA,12/26,0.0,0.0,-3.35,-18.31,0
AEGISVOPAK.NS,1.64,19.12,34.89,EMA,10/20,0.0,0.0,-4.18,-30.87,0
AFCONS.NS,1.27,11.57,48.03,EMA,50/200,-1.84,0.0,-4.07,-23.54,1
AFFLE.NS,1.32,9.21,54.93,EMA,10/20,0.09,100.0,-2.57,-17.05,1
AJANTPHARM.NS,1.95,1.69,93.72,SMA,10/20,2.5,100.0,1.88,-9.1,1
AKUMS.NS,1.36,7.18,63.92,EMA,10/20,0.85,100.0,-1.38,-12.11,1
AKZOINDIA.NS,0.95,6.04,59.23,EMA,20/50,-0.09,0.0,-1.51,-18.92,1
APLLTD.NS,0.8,11.15,30.61,EMA,20/50,0.0,0.0,-3.43,-20.7,0
ALKEM.NS,1.14,1.63,90.28,SMA,10/20,0.32,100.0,0.28,-5.36,1
ALKYLAMINE.NS,2.31,0.63,98.3,SMA,10/20,0.0,0.0,-2.71,-19.43,0
ALOKINDS.NS,1.47,14.96,42.53,EMA,10/20,0.0,0.0,-3.4,-20.38,0
ARE&M.NS,1.01,8.63,51.88,EMA,10/20,0.0,0.0,-4.28,-15.75,0
AMBER.NS,1.92,13.15,55.54,EMA,10/20,0.0,0.0,-4.04,-32.16,0
AMBUJACEM.NS,1.3,1.72,90.96,SMA,12/26,1.54,100.0,-1.32,-8.36,1
ANANDRATHI.NS,0.91,0.29,97.96,SMA,12/26,2.08,100.0,-0.79,-11.98,1
ANANTRAJ.NS,2.47,7.99,78.11,SMA,12/26,0.53,100.0,-1.97,-22.62,1
ANGELONE.NS,2.97,1.2,97.17,SMA,12/26,0.0,0.0,0.74,-18.05,0
APARINDS.NS,1.19,19.84,12.03,EMA,20/50,3.92,100.0,-2.35,-25.5,1
APOLLOHOSP.NS,1.39,4.82,76.41,SMA,10/20,2.77,100.0,-3.71,-15.01,1
APOLLOTYRE.NS,1.71,1.9,92.47,SMA,20/50,0.0,0.0,-0.28,-7.97,0
APTUS.NS,1.28,7.87,61.32,EMA,20/50,0.0,0.0,-2.76,-18.08,0
ASAHIINDIA.NS,3.0,3.13,93.25,SMA,10/20,0.0,0.0,0.18,-15.08,0
ASHOKLEY.NS,1.54,3.38,84.26,SMA,10/20,0.0,0.0,4.19,-4.23,0
ASIANPAINT.NS,1.39,4.47,79.57,SMA,20/50,0.0,0.0,1.14,-10.36,0
ASTERDM.NS,1.95,4.8,82.92,SMA,12/26,0.0,0.0,-3.76,-23.7,0
ASTRAZEN.NS,1.31,9.65,54.1,EMA,12/26,1.79,100.0,-2.47,-16.41,1
ASTRAL.NS,1.8,3.49,87.4,SMA,20/50,0.0,0.0,-0.84,-14.98,0
ATHERENERG.NS,2.81,15.03,64.25,EMA,12/26,1.03,100.0,-1.88,-22.45,1
ATUL.NS,1.65,4.05,84.09,SMA,12/26,1.42,100.0,-0.43,-8.5,1
AUROPHARMA.NS,1.21,7.91,62.0,EMA,12/26,3.13,100.0,-0.17,-9.49,1
AIIL.NS,3.31,1.24,97.45,SMA,20/50,0.48,100.0,-1.06,-20.72,1
DMART.NS,1.52,3.78,79.57,SMA,10/20,0.0,0.0,-3.11,-14.7,0
AXISBANK.NS,1.05,4.78,69.55,EMA,50/200,1.43,100.0,0.69,-5.47,1
BASF.NS,1.14,8.95,51.81,EMA,10/20,0.0,0.0,-5.27,-21.51,0
BEML.NS,1.43,10.2,58.62,EMA,20/50,0.0,0.0,-3.17,-26.04,0
BLS.NS,1.34,11.9,48.65,EMA,50/200,0.0,0.0,-1.47,-15.27,0
BSE.NS,1.76,1.58,94.03,SMA,20/50,0.0,0.0,0.76,-11.88,0
BAJAJ-AUTO.NS,1.26,0.1,99.47,SMA,12/26,3.43,100.0,0.08,-6.24,1
BAJFINANCE.NS,1.2,7.46,57.18,EMA,10/20,0.0,0.0,-2.27,-14.71,0
BAJAJFINSV.NS,0.84,3.72,65.89,SMA,20/50,0.0,0.0,-1.83,-10.01,0
BAJAJHLDNG.NS,1.24,5.9,66.16,EMA,10/20,0.0,0.0,-2.1,-19.66,0
BAJAJHFL.NS,0.9,6.33,57.61,EMA,10/20,0.0,0.0,-4.54,-19.49,0
BALKRISIND.NS,0.94,5.13,64.22,EMA,50/200,0.0,0.0,0.95,-6.22,0
BALRAMCHIN.NS,1.42,9.65,58.92,EMA,20/50,0.0,0.0,-1.83,-15.7,0
BANDHANBNK.NS,1.01,5.71,61.77,EMA,10/20,0.0,0.0,-2.26,-22.86,0
BANKBARODA.NS,1.2,2.93,83.86,SMA,12/26,5.2,100.0,1.77,-4.73,1
BANKINDIA.NS,1.71,12.66,52.35,EMA,20/50,0.0,0.0,2.88,-7.19,0
MAHABANK.NS,1.73,13.28,50.89,EMA,50/100,4.13,100.0,1.64,-8.05,1
BATAINDIA.NS,0.65,7.09,38.69,EMA,10/20,0.0,0.0,-5.71,-24.43,0
BAYERCROP.NS,0.83,1.27,89.71,SMA,20/50,0.0,0.0,-2.47,-13.06,0
BERGEPAINT.NS,1.46,7.09,68.58,EMA,20/50,3.83,100.0,-0.37,-13.59,1
BDL.NS,1.35,4.19,76.7,SMA,12/26,2.19,100.0,-1.22,-17.94,1
BEL.NS,1.1,0.66,95.93,SMA,12/26,0.92,100.0,-0.5,-10.26,1
BHARATFORG.NS,1.04,4.86,70.39,EMA,10/20,0.0,0.0,1.94,-6.97,0
BHEL.NS,2.91,9.29,73.55,EMA,10/20,6.23,100.0,0.61,-17.59,1
BPCL.NS,1.56,3.81,82.48,SMA,10/20,0.11,100.0,0.93,-8.35,1
BHARTIARTL.NS,0.67,6.01,43.35,EMA,20/50,1.15,100.0,-0.53,-7.71,1
BHARTIHEXA.NS,1.62,9.41,63.02,EMA,10/20,2.88,100.0,-1.27,-17.55,2
BIKAJI.NS,1.32,10.8,41.98,EMA,10/20,2.41,100.0,-2.52,-12.9,1
BIOCON.NS,1.15,8.41,55.34,EMA,20/50,1.29,100.0,0.26,-13.46,1
BSOFT.NS,2.44,9.38,75.29,SMA,10/20,0.0,0.0,1.84,-11.32,0
BLUEDART.NS,1.23,3.7,81.1,SMA,20/50,0.0,0.0,-0.35,-21.21,0
BLUEJET.NS,1.62,17.71,37.82,EMA,10/20,0.0,0.0,-3.82,-34.26,0
BLUESTARCO.NS,1.43,3.58,84.86,SMA,50/200,0.0,0.0,-2.06,-14.86,0
BBTC.NS,1.75,6.97,75.01,SMA,10/20,2.11,100.0,-2.07,-19.76,1
BOSCHLTD.NS,2.35,2.94,88.96,SMA,50/200,0.0,0.0,-1.6,-10.88,0
FIRSTCRY.NS,1.69,7.7,69.05,EMA,10/20,0.0,0.0,-4.16,-25.97,0
BRIGADE.NS,1.44,12.38,50.44,EMA,12/26,0.0,0.0,-3.67,-26.0,0
BRITANNIA.NS,0.89,4.26,69.05,SMA,12/26,0.09,100.0,-1.15,-6.2,1
MAPMYINDIA.NS,1.92,22.02,40.75,EMA,20/50,0.0,0.0,-4.57,-28.28,0
CCL.NS,1.66,1.51,94.26,SMA,12/26,0.0,0.0,1.25,-14.8,0
CESC.NS,1.73,13.79,51.43,EMA,12/26,0.0,0.0,-2.83,-20.29,0
CGPOWER.NS,1.9,12.95,56.46,EMA,50/200,-2.9,0.0,-3.59,-23.45,1
CRISIL.NS,2.0,6.15,78.14,SMA,12/26,1.14,100.0,-1.31,-16.7,1
CAMPUS.NS,0.77,4.28,63.67,SMA,10/20,0.58,100.0,-2.33,-12.05,1
CANFINHOME.NS,1.87,3.31,89.03,SMA,10/20,0.0,0.0,1.35,-6.52,0
CANBK.NS,1.15,0.73,95.55,SMA,10/20,2.61,100.0,3.1,-6.04,1
CAPLIPOINT.NS,1.97,11.72,61.63,EMA,20/50,0.0,0.0,-2.34,-14.44,0
CGCL.NS,1.52,5.69,74.81,EMA,12/26,0.0,0.0,-2.43,-19.67,0
CARBORUNIV.NS,1.62,5.77,75.54,SMA,10/20,0.0,0.0,-1.78,-16.36,0
CASTROLIND.NS,1.03,1.9,87.3,SMA,20/50,0.0,0.0,-2.0,-8.88,0
CEATLTD.NS,2.26,8.58,76.22,SMA,10/20,0.0,0.0,-2.4,-17.61,0
CENTRALBK.NS,1.48,0.41,98.06,SMA,10/20,4.85,100.0,-1.0,-11.01,1
CDSL.NS,1.57,11.01,51.78,EMA,12/26,-1.11,50.0,-2.76,-19.4,2
CENTURYPLY.NS,1.33,10.62,53.54,EMA,10/20,1.66,100.0,-0.01,-13.99,1
CERA.NS,1.07,4.88,71.46,EMA,10/20,-0.5,0.0,-3.74,-20.31,1
CHALET.NS,1.45,3.79,82.27,SMA,20/50,0.0,0.0,-1.91,-12.91,0
CHAMBLFERT.NS,1.41,11.18,50.13,EMA,50/200,0.0,0.0,-2.23,-14.34,0
CHENNPETRO.NS,2.86,2.32,94.85,SMA,10/20,0.0,0.0,0.69,-28.62,0
CHOICEIN.NS,1.21,3.62,80.47,SMA,12/26,2.99,100.0,-0.45,-15.74,1
CHOLAHLDNG.NS,2.07,11.9,62.79,EMA,50/200,0.0,0.0,-1.31,-18.28,0
CHOLAFIN.NS,1.38,4.12,78.0,SMA,50/200,0.0,0.0,-0.24,-9.84,0
CIPLA.NS,1.22,8.47,50.64,EMA,12/26,0.0,0.0,-4.34,-17.67,0
CUB.NS,2.45,5.51,83.23,SMA,10/20,2.78,100.0,1.98,-12.01,1
CLEAN.NS,0.96,3.71,74.25,SMA,10/20,0.0,0.0,-3.53,-19.71,0
COALINDIA.NS,2.02,2.91,86.81,SMA,12/26,1.43,100.0,1.44,-4.59,1
COCHINSHIP.NS,1.3,11.03,39.92,EMA,10/20,-2.35,0.0,-2.76,-20.87,1
COFORGE.NS,1.76,3.94,85.13,SMA,12/26,0.0,0.0,-0.41,-16.98,0
COHANCE.NS,1.49,28.39,19.37,EMA,10/20,0.0,0.0,-10.47,-57.31,0
COLPAL.NS,1.29,1.42,91.78,SMA,12/26,0.0,0.0,-1.2,-9.54,0
CAMS.NS,1.38,7.83,65.96,EMA,20/50,0.0,0.0,-1.29,-12.74,0
CONCORDBIO.NS,1.57,8.68,64.02,EMA,12/26,0.0,0.0,-3.2,-19.16,0
CONCOR.NS,1.27,2.45,85.04,SMA,10/20,1.38,100.0,-1.34,-9.93,1
COROMANDEL.NS,1.72,5.77,74.54,EMA,20/50,2.68,50.0,0.64,-7.13,2
CRAFTSMAN.NS,2.83,4.77,88.34,SMA,12/26,0.0,0.0,1.27,-7.84,0
CREDITACC.NS,2.85,4.0,89.56,SMA,10/20,0.0,0.0,0.63,-16.34,0
CROMPTON.NS,1.62,9.77,60.19,EMA,10/20,0.0,0.0,-4.16,-20.83,0
CUMMINSIND.NS,1.61,9.43,56.32,EMA,12/26,0.0,0.0,0.12,-13.6,0
CYIENT.NS,2.04,0.14,99.49,SMA,20/50,0.0,0.0,0.23,-9.54,0
ASTERDM.NS,1.95,4.8,82.92,SMA,12/26,0.0,0.0,-3.76,-23.7,0
ASTRAZEN.NS,1.31,9.65,54.1,EMA,12/26,1.79,100.0,-2.47,-16.41,1
ASTRAL.NS,1.8,3.49,87.4,SMA,20/50,0.0,0.0,-0.84,-14.98,0
ATHERENERG.NS,2.81,15.03,64.25,EMA,12/26,1.03,100.0,-1.88,-22.45,1
ATUL.NS,1.65,4.05,84.09,SMA,12/26,1.42,100.0,-0.43,-8.5,1
AUROPHARMA.NS,1.21,7.91,62.0,EMA,12/26,3.13,100.0,-0.17,-9.49,1
AIIL.NS,3.31,1.24,97.45,SMA,20/50,0.48,100.0,-1.06,-20.72,1
DMART.NS,1.52,3.78,79.57,SMA,10/20,0.0,0.0,-3.11,-14.7,0
AXISBANK.NS,1.05,4.78,69.55,EMA,50/200,1.43,100.0,0.69,-5.47,1
BASF.NS,1.14,8.95,51.81,EMA,10/20,0.0,0.0,-5.27,-21.51,0
BEML.NS,1.43,10.2,58.62,EMA,20/50,0.0,0.0,-3.17,-26.04,0
BLS.NS,1.34,11.9,48.65,EMA,50/200,0.0,0.0,-1.47,-15.27,0
BSE.NS,1.76,1.58,94.03,SMA,20/50,0.0,0.0,0.76,-11.88,0
BAJAJ-AUTO.NS,1.26,0.1,99.47,SMA,12/26,3.43,100.0,0.08,-6.24,1
BAJFINANCE.NS,1.2,7.46,57.18,EMA,10/20,0.0,0.0,-2.27,-14.71,0
BAJAJFINSV.NS,0.84,3.72,65.89,SMA,20/50,0.0,0.0,-1.83,-10.01,0
BAJAJHLDNG.NS,1.24,5.9,66.16,EMA,10/20,0.0,0.0,-2.1,-19.66,0
BAJAJHFL.NS,0.9,6.33,57.61,EMA,10/20,0.0,0.0,-4.54,-19.49,0
BALKRISIND.NS,0.94,5.13,64.22,EMA,50/200,0.0,0.0,0.95,-6.22,0
BALRAMCHIN.NS,1.42,9.65,58.92,EMA,20/50,0.0,0.0,-1.83,-15.7,0
BANDHANBNK.NS,1.01,5.71,61.77,EMA,10/20,0.0,0.0,-2.26,-22.86,0
BANKBARODA.NS,1.2,2.93,83.86,SMA,12/26,5.2,100.0,1.77,-4.73,1
BANKINDIA.NS,1.71,12.66,52.35,EMA,20/50,0.0,0.0,2.88,-7.19,0
MAHABANK.NS,1.73,13.28,50.89,EMA,50/100,4.13,100.0,1.64,-8.05,1
BATAINDIA.NS,0.65,7.09,38.69,EMA,10/20,0.0,0.0,-5.71,-24.43,0
BAYERCROP.NS,0.83,1.27,89.71,SMA,20/50,0.0,0.0,-2.47,-13.06,0
BERGEPAINT.NS,1.46,7.09,68.58,EMA,20/50,3.83,100.0,-0.37,-13.59,1
BDL.NS,1.35,4.19,76.7,SMA,12/26,2.19,100.0,-1.22,-17.94,1
BEL.NS,1.1,0.66,95.93,SMA,12/26,0.92,100.0,-0.5,-10.26,1
BHARATFORG.NS,1.04,4.86,70.39,EMA,10/20,0.0,0.0,1.94,-6.97,0
BHEL.NS,2.91,9.29,73.55,EMA,10/20,6.23,100.0,0.61,-17.59,1
BPCL.NS,1.56,3.81,82.48,SMA,10/20,0.11,100.0,0.93,-8.35,1
BHARTIARTL.NS,0.67,6.01,43.35,EMA,20/50,1.15,100.0,-0.53,-7.71,1
BHARTIHEXA.NS,1.62,9.41,63.02,EMA,10/20,2.88,100.0,-1.27,-17.55,2
BIKAJI.NS,1.32,10.8,41.98,EMA,10/20,2.41,100.0,-2.52,-12.9,1
BIOCON.NS,1.15,8.41,55.34,EMA,20/50,1.29,100.0,0.26,-13.46,1
BSOFT.NS,2.44,9.38,75.29,SMA,10/20,0.0,0.0,1.84,-11.32,0
BLUEDART.NS,1.23,3.7,81.1,SMA,20/50,0.0,0.0,-0.35,-21.21,0
BLUEJET.NS,1.62,17.71,37.82,EMA,10/20,0.0,0.0,-3.82,-34.26,0
BLUESTARCO.NS,1.43,3.58,84.86,SMA,50/200,0.0,0.0,-2.06,-14.86,0
BBTC.NS,1.75,6.97,75.01,SMA,10/20,2.11,100.0,-2.07,-19.76,1
BOSCHLTD.NS,2.35,2.94,88.96,SMA,50/200,0.0,0.0,-1.6,-10.88,0
FIRSTCRY.NS,1.69,7.7,69.05,EMA,10/20,0.0,0.0,-4.16,-25.97,0
BRIGADE.NS,1.44,12.38,50.44,EMA,12/26,0.0,0.0,-3.67,-26.0,0
BRITANNIA.NS,0.89,4.26,69.05,SMA,12/26,0.09,100.0,-1.15,-6.2,1
MAPMYINDIA.NS,1.92,22.02,40.75,EMA,20/50,0.0,0.0,-4.57,-28.28,0
CCL.NS,1.66,1.51,94.26,SMA,12/26,0.0,0.0,1.25,-14.8,0
CESC.NS,1.73,13.79,51.43,EMA,12/26,0.0,0.0,-2.83,-20.29,0
CGPOWER.NS,1.9,12.95,56.46,EMA,50/200,-2.9,0.0,-3.59,-23.45,1
CRISIL.NS,2.0,6.15,78.14,SMA,12/26,1.14,100.0,-1.31,-16.7,1
CAMPUS.NS,0.77,4.28,63.67,SMA,10/20,0.58,100.0,-2.33,-12.05,1
CANFINHOME.NS,1.87,3.31,89.03,SMA,10/20,0.0,0.0,1.35,-6.52,0
CANBK.NS,1.15,0.73,95.55,SMA,10/20,2.61,100.0,3.1,-6.04,1
CAPLIPOINT.NS,1.97,11.72,61.63,EMA,20/50,0.0,0.0,-2.34,-14.44,0
CGCL.NS,1.52,5.69,74.81,EMA,12/26,0.0,0.0,-2.43,-19.67,0
CARBORUNIV.NS,1.62,5.77,75.54,SMA,10/20,0.0,0.0,-1.78,-16.36,0
CASTROLIND.NS,1.03,1.9,87.3,SMA,20/50,0.0,0.0,-2.0,-8.88,0
