Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
LINDEINDIA.NS,1.26,0.26,98.53,SMA,12/26,0.67,50.0,-0.27,-7.21,2
LLOYDSME.NS,2.11,16.94,48.47,EMA,12/26,2.68,100.0,-2.06,-17.78,1
LODHA.NS,1.94,9.25,65.23,EMA,10/20,-1.06,0.0,-2.87,-20.54,1
LUPIN.NS,1.23,1.6,90.18,SMA,10/20,0.0,0.0,2.33,-3.32,0
MMTC.NS,5.07,14.46,78.0,SMA,20/50,0.6,100.0,-0.11,-22.91,1
MRF.NS,0.98,8.68,50.6,EMA,10/20,0.0,0.0,-4.1,-13.7,0
MGL.NS,1.6,2.11,90.79,SMA,12/26,0.0,0.0,-2.64,-19.67,0
MAHSCOOTER.NS,2.39,6.03,79.68,SMA,12/26,0.0,0.0,-2.87,-24.72,0
MAHSEAMLES.NS,1.16,6.49,60.01,EMA,20/50,0.0,0.0,-2.09,-12.95,0
M&MFIN.NS,2.2,10.27,69.67,EMA,10/20,0.31,100.0,1.78,-13.82,1
M&M.NS,1.03,2.29,84.09,SMA,20/50,0.0,0.0,-0.37,-6.55,0
MANAPPURAM.NS,2.71,5.09,85.79,SMA,10/20,2.85,100.0,0.46,-10.64,1
MRPL.NS,4.03,4.18,92.5,SMA,10/20,0.0,0.0,0.32,-24.15,0
MANKIND.NS,1.78,4.29,85.39,SMA,10/20,1.47,100.0,-2.47,-14.08,1
MARICO.NS,1.14,1.8,90.02,SMA,12/26,1.55,100.0,0.98,-6.58,1
MARUTI.NS,1.22,5.59,71.34,EMA,50/100,3.29,100.0,-0.95,-8.8,1
MFSL.NS,1.1,3.5,78.38,SMA,10/20,0.0,0.0,1.03,-6.73,0
MAXHEALTH.NS,1.13,7.14,61.39,EMA,12/26,0.0,0.0,-2.98,-18.01,0
MAZDOCK.NS,1.33,8.22,54.99,EMA,20/50,0.0,0.0,-2.81,-17.6,0
METROPOLIS.NS,2.26,1.1,96.82,SMA,20/50,0.0,0.0,0.12,-8.55,0
MINDACORP.NS,1.45,10.78,55.39,EMA,50/200,3.1,100.0,-1.6,-13.75,1
MSUMI.NS,2.33,1.74,95.36,SMA,12/26,3.85,100.0,-0.36,-16.41,1
MOTILALOFS.NS,2.38,13.23,67.02,EMA,10/20,1.93,100.0,-2.95,-28.95,1
MPHASIS.NS,1.58,3.22,86.68,SMA,20/50,0.0,0.0,0.47,-8.13,0
MCX.NS,2.16,7.16,79.53,SMA,12/26,0.0,0.0,3.05,-5.38,0
MUTHOOTFIN.NS,1.2,2.68,83.81,SMA,10/20,0.0,0.0,2.6,-3.93,0
NATCOPHARM.NS,2.08,8.35,75.92,SMA,12/26,0.0,0.0,0.18,-13.33,0
NBCC.NS,1.93,16.76,43.36,EMA,20/50,6.94,50.0,-2.11,-22.36,2
NCC.NS,1.76,12.1,53.4,EMA,10/20,0.0,0.0,-5.73,-33.66,0
NHPC.NS,1.7,2.17,90.4,SMA,10/20,2.46,100.0,-2.5,-13.7,1
NLCINDIA.NS,2.2,0.91,97.09,SMA,12/26,2.42,100.0,-0.68,-11.69,1
NMDC.NS,2.02,3.43,88.32,SMA,12/26,0.38,100.0,0.2,-8.73,1
NSLNISP.NS,2.53,4.38,87.73,SMA,10/20,3.34,100.0,-1.23,-18.58,1
NTPCGREEN.NS,1.29,4.2,79.62,SMA,20/50,0.0,0.0,-2.48,-14.94,0
NTPC.NS,1.62,5.01,76.06,SMA,12/26,3.72,100.0,-1.13,-7.57,1
NH.NS,1.67,3.32,87.18,SMA,50/200,0.0,0.0,0.37,-11.22,0
NATIONALUM.NS,2.99,22.42,54.25,EMA,10/20,0.0,0.0,5.05,-5.42,0
NAVA.NS,1.92,5.57,81.9,SMA,20/50,0.75,100.0,-1.66,-18.6,1
NAVINFLUOR.NS,2.24,1.23,96.62,SMA,12/26,0.0,0.0,1.29,-8.42,0
NESTLEIND.NS,0.99,1.87,87.69,SMA,12/26,2.43,100.0,0.11,-6.06,1
NETWEB.NS,3.01,2.5,94.23,SMA,20/50,0.0,0.0,-1.44,-28.11,0
NEULANDLAB.NS,1.84,14.34,55.94,EMA,20/50,7.61,100.0,-2.23,-27.52,1
NEWGEN.NS,3.36,25.65,34.23,EMA,10/20,0.0,0.0,-2.73,-36.94,0
NAM-INDIA.NS,1.81,5.25,81.54,SMA,50/200,0.0,0.0,-1.5,-15.53,0
NIVABUPA.NS,1.24,1.4,90.85,SMA,10/20,1.94,100.0,0.5,-5.75,1
NUVAMA.NS,2.08,6.3,81.45,SMA,20/50,0.0,0.0,-0.06,-10.39,0
NUVOCO.NS,1.08,4.95,70.33,EMA,20/50,0.0,0.0,-2.98,-21.15,0
OBEROIRLTY.NS,2.09,10.15,61.7,EMA,10/20,7.4,100.0,-1.38,-16.37,2
ONGC.NS,1.56,3.68,84.6,SMA,12/26,2.13,100.0,0.84,-7.71,1
OIL.NS,2.08,6.03,82.16,SMA,10/20,2.51,100.0,0.81,-9.17,1
OLAELEC.NS,4.06,6.96,88.17,SMA,10/20,8.57,100.0,-4.19,-44.35,1
OLECTRA.NS,1.9,18.43,44.18,EMA,10/20,1.62,100.0,-4.09,-34.18,1
PAYTM.NS,1.82,6.7,74.67,EMA,20/50,-6.91,0.0,-0.12,-8.11,4
ONESOURCE.NS,1.44,5.01,79.03,SMA,12/26,1.52,100.0,-1.4,-18.4,1
OFSS.NS,1.94,1.39,94.59,SMA,10/20,0.0,0.0,-1.3,-12.05,0
POLICYBZR.NS,1.35,13.18,43.68,EMA,10/20,0.0,0.0,0.36,-17.23,0
PCBL.NS,2.05,12.97,58.36,EMA,10/20,0.0,0.0,-5.07,-28.82,0
PGEL.NS,2.17,8.36,73.65,EMA,10/20,2.14,50.0,-0.92,-15.48,2
PIIND.NS,1.1,3.28,81.12,SMA,10/20,1.57,100.0,-2.15,-17.4,1
PNBHOUSING.NS,1.66,3.7,85.04,SMA,12/26,0.09,100.0,1.1,-7.67,1
PTCIL.NS,1.64,2.18,90.35,SMA,12/26,0.0,0.0,0.91,-10.59,0
PVRINOX.NS,2.3,7.37,80.46,SMA,10/20,0.0,0.0,-2.39,-23.51,0
PAGEIND.NS,1.14,9.78,42.51,EMA,10/20,0.0,0.0,-5.23,-20.46,0
PATANJALI.NS,1.64,7.71,64.57,EMA,20/50,2.05,100.0,-2.58,-17.4,1
PERSISTENT.NS,1.51,1.74,92.51,SMA,20/50,0.0,0.0,1.32,-7.47,0
PETRONET.NS,1.44,1.85,91.26,SMA,10/20,0.84,50.0,0.63,-7.3,2
PFIZER.NS,1.03,8.46,55.36,EMA,12/26,0.0,0.0,-4.12,-13.85,0
PHOENIXLTD.NS,1.23,5.76,68.29,EMA,12/26,0.0,0.0,1.22,-10.46,0
PIDILITIND.NS,1.11,1.71,89.27,SMA,50/200,0.0,0.0,-1.83,-7.19,0
PPLPHARMA.NS,1.95,12.52,54.49,EMA,12/26,0.0,0.0,-3.65,-24.01,0
POLYMED.NS,2.02,11.95,65.34,EMA,10/20,-1.69,0.0,-2.11,-22.42,2
POLYCAB.NS,1.91,8.59,69.99,EMA,12/26,-2.29,33.33,-1.27,-11.68,3
POONAWALLA.NS,1.88,6.3,77.64,SMA,20/50,0.0,0.0,-1.85,-14.62,0
PFC.NS,1.78,1.52,94.09,SMA,10/20,4.18,100.0,-1.9,-17.2,1
POWERGRID.NS,1.01,4.57,70.32,EMA,12/26,0.0,0.0,-2.35,-12.54,0
PRAJIND.NS,1.51,13.54,48.25,EMA,10/20,2.87,100.0,-2.22,-18.2,1
PREMIERENE.NS,2.19,19.79,42.6,EMA,10/20,0.0,0.0,-4.47,-35.35,0
PRESTIGE.NS,1.93,11.06,63.48,EMA,10/20,0.0,0.0,-2.39,-20.18,0
PGHH.NS,0.65,8.16,34.3,EMA,20/50,0.0,0.0,-4.5,-14.01,0
PNB.NS,1.56,2.53,88.26,SMA,20/50,3.64,100.0,0.8,-7.46,1
RRKABEL.NS,1.45,7.39,70.09,EMA,10/20,4.94,100.0,1.0,-8.4,1
RBLBANK.NS,2.3,2.76,91.34,SMA,10/20,0.67,100.0,-1.13,-10.52,1
RECLTD.NS,1.77,0.3,98.83,SMA,10/20,4.93,100.0,-0.9,-13.38,1
RHIM.NS,2.15,6.6,80.44,SMA,10/20,3.21,100.0,-0.81,-14.26,1
RITES.NS,1.91,9.75,67.58,EMA,10/20,2.18,50.0,-2.34,-16.37,2
RADICO.NS,2.62,13.31,69.44,EMA,50/200,0.0,0.0,-1.65,-18.44,0
RVNL.NS,3.49,8.27,80.14,SMA,20/50,0.0,0.0,-0.32,-18.26,0
RAILTEL.NS,2.33,8.24,75.34,SMA,12/26,7.09,100.0,-2.22,-17.64,1
RAINBOW.NS,0.95,11.37,22.82,EMA,50/200,0.0,0.0,-2.59,-13.35,0
RKFORGE.NS,1.51,4.41,82.88,SMA,20/50,0.0,0.0,-1.41,-14.12,0
RCF.NS,1.51,9.68,59.79,EMA,20/50,0.88,100.0,-2.32,-16.59,1
REDINGTON.NS,1.61,3.51,85.63,SMA,20/50,0.0,0.0,0.05,-12.65,0
RELIANCE.NS,1.51,9.86,53.22,EMA,10/20,-0.31,0.0,-0.87,-12.45,1
RELINFRA.NS,2.05,18.54,7.25,EMA,12/26,0.0,0.0,-3.29,-43.81,0
RPOWER.NS,2.23,22.41,42.66,EMA,10/20,0.0,0.0,-2.99,-36.39,0
SBFC.NS,2.08,4.47,84.72,SMA,10/20,0.0,0.0,-2.02,-16.08,0
SBICARD.NS,1.61,9.67,61.29,EMA,20/50,0.0,0.0,-2.95,-16.33,0
SBILIFE.NS,0.87,1.48,89.42,SMA,20/50,0.0,0.0,3.05,-3.2,0
SJVN.NS,3.53,4.87,89.82,SMA,20/50,0.0,0.0,-2.28,-21.63,0
SKFINDIA.NS,1.55,1.04,94.6,SMA,12/26,1.71,100.0,-4.24,-22.36,1
SRF.NS,1.86,13.6,42.1,EMA,10/20,1.91,100.0,-2.37,-14.32,1
SAGILITY.NS,1.62,1.32,93.93,SMA,10/20,3.95,100.0,1.26,-11.86,1
SAILIFE.NS,2.17,10.26,70.67,EMA,12/26,-0.82,0.0,-1.15,-17.19,1
SAMMAANCAP.NS,1.61,2.37,90.64,SMA,20/50,0.0,0.0,-2.06,-27.38,0
MOTHERSON.NS,1.36,8.25,57.23,EMA,10/20,0.29,100.0,0.67,-11.94,1
SAPPHIRE.NS,2.6,20.32,50.43,EMA,10/20,2.71,100.0,-3.57,-31.66,1
SARDAEN.NS,2.12,13.75,60.31,EMA,50/200,0.0,0.0,-1.8,-17.26,0
SAREGAMA.NS,2.66,6.85,81.94,SMA,12/26,0.0,0.0,-3.17,-28.82,0
SCHAEFFLER.NS,1.33,5.67,69.77,EMA,10/20,-1.63,0.0,-2.88,-16.72,1
SCHNEIDER.NS,2.2,21.62,37.15,EMA,10/20,-1.02,0.0,-3.83,-34.92,1
SCI.NS,2.15,7.04,79.01,SMA,20/50,0.0,0.0,-0.93,-25.26,0
SHREECEM.NS,1.01,5.51,69.29,EMA,20/50,0.0,0.0,-1.05,-12.11,0
SHRIRAMFIN.NS,1.29,1.26,93.47,SMA,10/20,0.0,0.0,5.53,-4.6,0
SHYAMMETL.NS,1.49,3.47,84.48,SMA,12/26,3.48,100.0,-2.42,-14.86,1
ENRIN.NS,1.58,13.21,49.73,EMA,10/20,-3.31,0.0,-4.24,-32.79,2
SIEMENS.NS,1.57,6.89,71.76,EMA,12/26,-1.14,0.0,-0.88,-15.28,1
SIGNATURE.NS,2.63,21.82,30.54,EMA,50/200,-1.03,0.0,-2.23,-22.71,1
SOBHA.NS,2.65,9.38,71.97,EMA,20/50,2.56,100.0,-1.22,-20.54,1
SOLARINDS.NS,1.78,0.43,98.46,SMA,12/26,3.85,100.0,-2.14,-16.87,1
SONACOMS.NS,1.09,8.17,50.21,EMA,10/20,0.0,0.0,-0.59,-13.15,0
SONATSOFTW.NS,2.34,13.81,62.63,EMA,20/50,0.0,0.0,-1.79,-20.91,0
STARHEALTH.NS,1.18,3.87,80.86,SMA,10/20,0.0,0.0,-2.42,-16.74,0
SBIN.NS,0.82,6.16,54.79,EMA,10/20,2.28,100.0,3.43,-3.64,1
SAIL.NS,2.29,11.07,69.41,EMA,10/20,6.89,100.0,0.37,-13.0,2
SUMICHEM.NS,1.39,9.32,57.55,EMA,10/20,1.97,100.0,-4.37,-21.16,1
SUNPHARMA.NS,1.22,7.14,56.24,EMA,10/20,2.28,50.0,-1.26,-11.94,2
SUNTV.NS,1.35,5.49,73.85,EMA,12/26,-0.66,50.0,-1.22,-9.2,2
SUNDARMFIN.NS,1.65,0.99,96.17,SMA,12/26,2.62,100.0,2.11,-5.96,1
SUNDRMFAST.NS,0.9,1.32,91.28,SMA,10/20,0.0,0.0,-0.9,-6.86,0
SUPREMEIND.NS,1.55,0.86,96.1,SMA,12/26,0.41,100.0,-3.53,-22.91,1
SUZLON.NS,1.64,14.58,44.42,EMA,10/20,3.35,100.0,-3.07,-24.1,1
SWANCORP.NS,2.0,13.68,55.05,EMA,10/20,4.96,100.0,-1.15,-16.46,2
SWIGGY.NS,1.6,16.37,40.4,EMA,20/50,0.0,0.0,-3.04,-24.53,0
SYNGENE.NS,1.24,8.76,49.21,EMA,50/200,-0.15,0.0,-0.72,-8.82,1
SYRMA.NS,2.06,12.77,58.19,EMA,50/200,5.51,100.0,-3.1,-29.12,1
TBOTEK.NS,1.59,14.58,46.98,EMA,50/200,1.37,100.0,-0.93,-15.92,1
TVSMOTOR.NS,1.26,1.72,91.08,SMA,10/20,3.08,100.0,-1.05,-7.43,1
TATACHEM.NS,2.0,9.36,70.06,EMA,10/20,0.0,0.0,-4.66,-24.0,0
TATACOMM.NS,1.56,8.67,55.06,EMA,12/26,0.0,0.0,-2.59,-16.66,0
TCS.NS,1.34,4.21,80.55,SMA,10/20,0.0,0.0,1.33,-5.0,0
TATACONSUM.NS,1.25,1.32,93.52,SMA,20/50,1.43,100.0,-0.0,-4.8,1
TATAELXSI.NS,2.83,0.74,97.81,SMA,50/200,0.0,0.0,0.15,-12.94,0
TATAINVEST.NS,1.16,12.9,36.85,EMA,10/20,0.0,0.0,-5.77,-29.11,0
TMPV.NS,1.16,6.61,65.39,EMA,20/50,0.0,0.0,-3.21,-18.98,0
TATAPOWER.NS,1.35,7.99,62.3,EMA,20/50,-1.16,0.0,-2.58,-14.75,1
TATASTEEL.NS,1.6,8.43,65.99,EMA,10/20,5.54,100.0,1.23,-13.24,1
TATATECH.NS,1.81,2.95,88.4,SMA,20/50,0.0,0.0,-1.06,-8.9,0
TTML.NS,1.15,16.13,29.47,EMA,10/20,0.0,0.0,-2.06,-23.67,0
TECHM.NS,1.79,3.38,86.04,SMA,10/20,0.29,50.0,3.02,-5.24,2
TECHNOE.NS,1.93,17.86,52.4,EMA,10/20,0.0,0.0,-5.28,-33.12,0
TEJASNET.NS,2.72,27.75,26.63,EMA,10/20,0.0,0.0,-4.87,-40.54,0
NIACL.NS,1.22,5.19,71.96,EMA,10/20,-3.34,0.0,-4.55,-25.27,1
RAMCOCEM.NS,1.0,3.32,78.53,SMA,12/26,0.0,0.0,1.05,-7.44,0
THERMAX.NS,1.14,0.08,99.54,SMA,12/26,2.22,100.0,-1.76,-16.31,1
TIMKEN.NS,1.4,0.55,97.6,SMA,12/26,0.0,0.0,0.72,-6.97,0
TITAGARH.NS,2.12,9.3,71.93,EMA,10/20,5.79,100.0,-2.36,-18.71,2
TITAN.NS,1.27,4.35,73.82,SMA,10/20,1.48,100.0,2.24,-4.63,1
TORNTPHARM.NS,1.43,3.85,80.63,SMA,12/26,0.0,0.0,2.05,-3.79,0
TORNTPOWER.NS,2.0,1.51,94.8,SMA,50/200,0.0,0.0,-0.09,-7.72,0
TARIL.NS,4.18,19.28,69.86,EMA,10/20,8.33,100.0,-3.48,-54.06,1
TRENT.NS,2.42,12.24,59.92,EMA,50/200,0.0,0.0,-2.99,-21.55,0
TRIDENT.NS,1.42,9.25,55.56,EMA,20/50,0.0,0.0,-2.72,-15.36,0
TRIVENI.NS,1.26,18.03,26.38,EMA,20/50,4.37,50.0,-0.69,-18.03,2
TRITURBINE.NS,1.21,13.92,23.66,EMA,50/200,-2.04,0.0,-2.09,-14.62,1
TIINDIA.NS,1.3,12.49,46.68,EMA,10/20,0.0,0.0,-5.54,-29.11,0
UCOBANK.NS,1.46,0.17,99.13,SMA,20/50,0.0,0.0,-1.95,-15.16,0
UNOMINDA.NS,1.58,12.68,50.3,EMA,50/200,-0.7,0.0,-0.87,-16.18,1
UPL.NS,2.29,10.48,58.98,EMA,10/20,2.97,100.0,0.0,-14.11,1
UTIAMC.NS,1.56,8.85,65.4,EMA,10/20,0.0,0.0,-4.7,-22.85,0
ULTRACEMCO.NS,1.0,3.97,75.34,SMA,12/26,1.0,100.0,-0.18,-8.3,1
UNIONBANK.NS,2.28,14.4,54.02,EMA,10/20,2.36,100.0,2.64,-5.27,2
UBL.NS,0.98,10.51,33.93,EMA,10/20,0.0,0.0,-5.38,-21.2,0
UNITDSPR.NS,1.15,8.45,54.52,EMA,12/26,4.57,100.0,-0.66,-9.65,1
USHAMART.NS,1.51,10.49,60.77,EMA,20/50,0.29,50.0,-1.64,-14.28,2
VGUARD.NS,1.37,6.52,68.34,EMA,10/20,0.0,0.0,-3.16,-20.83,0
DBREALTY.NS,1.94,16.97,50.93,EMA,10/20,-3.59,0.0,-4.16,-35.61,1
VTL.NS,1.22,9.27,49.76,EMA,10/20,1.28,100.0,-0.05,-13.29,1
VBL.NS,1.32,0.07,99.64,SMA,20/50,0.0,0.0,0.68,-9.96,0
MANYAVAR.NS,1.2,16.42,28.11,EMA,10/20,0.0,0.0,-5.92,-30.05,0
VEDL.NS,1.86,13.12,49.33,EMA,10/20,0.0,0.0,5.25,-6.5,0
VENTIVE.NS,1.72,2.4,90.69,SMA,10/20,0.95,50.0,-1.08,-8.9,2
VIJAYA.NS,1.35,2.84,88.02,SMA,20/50,0.0,0.0,-0.06,-10.72,0
VMM.NS,1.07,10.5,39.16,EMA,12/26,0.0,0.0,-3.43,-17.45,0
IDEA.NS,3.53,15.81,65.13,EMA,10/20,0.0,0.0,1.1,-16.09,0
VOLTAS.NS,2.03,7.46,74.94,EMA,50/200,0.0,0.0,-1.61,-14.39,0
WAAREEENER.NS,1.77,21.47,32.09,EMA,10/20,0.0,0.0,-4.86,-32.53,0
WELCORP.NS,2.5,7.46,78.33,SMA,10/20,0.0,0.0,-1.35,-23.7,0
WELSPUNLIV.NS,2.13,13.15,60.67,EMA,12/26,0.0,0.0,-0.18,-24.07,0
WHIRLPOOL.NS,1.4,14.76,40.52,EMA,50/200,0.0,0.0,-6.05,-44.78,0
WIPRO.NS,2.28,10.64,61.99,EMA,10/20,0.14,100.0,0.07,-12.15,1
WOCKPHARMA.NS,2.43,6.15,83.25,SMA,12/26,0.0,0.0,0.13,-12.65,0
YESBANK.NS,2.05,0.14,99.51,SMA,50/200,0.0,0.0,-0.68,-7.83,0
ZFCVINDIA.NS,1.33,6.95,66.45,EMA,10/20,2.45,100.0,0.78,-11.75,1
ZEEL.NS,1.41,11.15,45.63,EMA,10/20,0.0,0.0,-3.86,-22.85,0
ZENTEC.NS,2.38,5.79,81.35,SMA,12/26,0.0,0.0,-0.67,-15.27,0
ZENSARTECH.NS,1.27,5.58,71.87,EMA,12/26,0.0,0.0,-1.59,-14.12,0
ZYDUSLIFE.NS,1.04,4.53,71.64,EMA,10/20,0.0,0.0,-3.31,-14.38,0
ECLERX.NS,2.15,12.25,62.81,EMA,12/26,0.13,66.67,-0.43,-14.5,3
